ID,Full Name,Last Update,Accepted Content Types,Certificate or Labels,Closure Date,Contact,Description,Disciplinary Scope,Keywords,Launch Date,OAI-PMH URL,OpenDOAR ID,Platform,Platform Languages,Record Count,Repository Type,Service Pricing,Short Name,Status,Terms of Use,URL,Accessibility Of Conflict Of Interest Procedures,Business Model,Funding,Objectives,Owner Country,Owner Full Name,Owner Short Name,Owner URL,Ownership Type,Scientific/Technical Committees,User Committees,Access to content,Access to metadata,Account Creation,Backups,Functional Description,Interoperability,Metadata Format(s),Metadata Languages,Metadata Properties,Method For Re-use Of Metadata,Open Source?,Permission For Re-use Of Metadata,Persistence of Content,Preservation Policy,Academic Applicant Only,Accepted Content Formats,Accepted Content Languages,Accepted Content Level,Accepted Supplementary Content,Associated Editor,Associated Journal,Author PID,Availability of Associated Content,Journal Submission,Licensing,Mechanisms To Report Concerns About Content,Mechanisms To Report Concerns About Plagiarism,Moderation,Peer-review Status Indication,Persistent Identifier,Text Embargo,Time from submission to posting,Versioning Policy,Who Can Deposit?,Withdrawal Policy,Withdrawal Authorisation,Remining Indrawn Item,Editorial Notes,
indiarxiv,IndiArxiv,2022-02-11,"All article types, datasets, posters, Preprints",None,No funds to support for its sustainability. Now working with other agencies to host the same perpetually without any financial obligations.,sridhar@openaccessindia.org,,All scientific fileds,"India, OSF",2019-08-01,,,,English,Full text : 148,National Common open archive platform,None,IndiaRxiv,Closed to submission only,Yes,https://indiarxiv.org/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"Anyone who have interests in Open Access, Open Data and Open Education are invited to join the community and take forward the open access movement in India by participating in the discussions/initiatives which would influence the policy makers, managers, researchers, scholarly societies to adopt Open Access policy for their research outputs.",India,Owned by Open Access India hosted & supported by Centre for Open Science,OAI,http://openaccessindia.org/,Community,Yes : includes researchers ,Yes : Steering Commitee ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,Harvested by various repositories such as https://explore.openaire.eu/,No,"Yes, via COS's SHARE",No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,COS Preservation Fund to maintain read access for 50+ years,The content is kept by OSFto be visible. Advisory team advises to turn to RINarxiv to post new content.,,"PDF, Word doc, LaTeX",All languages accepted,All level accepted,"full text, figures, data, image, coding, analyses. This is associated with the article via a specific link",No,No,ORCID,,Unrestricted,CC-BY,Can be contacted via Support/Contact email,Can be contacted via Support/Contact email,"Modereated for checking spam and relevance to India context as its for country, India",No,DOI,"No, only if the publisher imposes an embargo period",,Accepts new version. All version are archieved and visible for readers.,,Yes,At author's request with moderator approval,Basic information remains on a tombstone page,IndiaRxiv is no longer able to accept new submissions. Powered by OSF Preprints,
jmir_preprints,JMIR Preprints,2022-02-11,"Research manuscripts, blog posts, online reports, Preprints",None,,"support@jmir.org,",A preprint server for pre-publication/pre-peer-review preprints intended for community review as well as ahead-of-print (accepted) manuscripts.,Broad life & biomedical research,"Broad Life, biomedical, Life Sciences, JMIR, Medicine",2020,,,,English,Full text : 58,Disciplinary,None,,Open,Yes,https://preprints.jmir.org/,No,For-profit,Internal funding,,Canada,JMIR Publications Inc,JMIR,https://www.jmir.org/,Publishing organisation (publisher), , ,"Author choice: No reader registration required, or reader can view basic content (title, abstract) without account but must register to view and download full content",Anyone may access the metadata free of charge,Needed for submission or to access full content regarding the choice of the author,,Yes via FAQ,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, License types(s), Journal currently submitted to",Openly available via Crossref (when available),No,None,,,Yes,Word doc,English,Research only,,No,JMIR Publications journals,ORCID,,Unrestricted,Authors must use no license (all rights reserved),Email administrator,Email administrator,Check is done during Open Peer review proccess,Yes,DOI,"No, only if the publisher imposes an embargo period",Same day,Accepts first submission only,"JMIR Publications facilitates this by allowing its authors to expose submitted manuscripts on its preprint server with a simple checkbox when submitting an article, and the preprint server is also open for non-JMIR authors",Yes,Platform,JMIR  will remove the content from the collection,Editor platform,
lawarxiv,LawArxiv,2022-02-11,"Journal Articles, Preprints",None,Closed in 2020,lawarxiv@cornell.edu.,,Legal Research,"Legal Research, Law, OSF",2017-04-01,,,open_science_framework,English,Full text : 1 393,Disciplinary,None,,Closed to submission only,Yes,https://osf.io/preprints/lawarxiv,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"Aggregate search results from a variety of other preprint providers such as arXiv, bioRxiv, PeerJ, CogPrints and others",The United States of America,Center for Open Science,COS,https://www.cos.io/,Charity,Yes : Legal Scholarship Advisory Board , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Not necessary to access the content,,No,Yes via API,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), License type(s)",Openly available via API,Yes,,Yes : COS Preservation Fund to maintain read access for 50+ years,The content is kept by OSF,Yes,"PDF, Word doc",English,Research only,Associated files (data and software) can be uploaded at the time of submission and will be hosted alongside the paper.,No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: CC BY Attribution 4.0 International, CC0 1.0 Universal, No license; with no preference for which license chosen",Email administrator; helpdesk support from COS,No,,No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",,Accepts new version. All version are archieved and visible for readers.,,No,,,LawArXiv is no longer able to accept new submissions. Powered by OSF Preprints,
lingbuzz,LingBuzz,2022-02-11,"Journal Articles, Preprints",None,,,"Welcome to LingBuzz, an article archive and a community space for Linguistics. You are highly encouraged to upload your articles - old and new, published or not.",Language and Literature,"Language, Linguistic",,,X,eprints,English,Full text : 5 838,Disciplinary,None,,Open,No,https://ling.auf.net/lingbuzz,No,Nonprofit,Internal funding,,Norway,UiT The Arctic University of Norway,,http://uit.no/startsida,Academic institution, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,,No,English,"Title, Author(s), Date, Abstract, Format, Reference, keywords",,Yes,,,,Yes,PDF,English,Research only,,No,No,No,,Unrestricted,,,No,,No,None,"No, only if the publisher imposes an embargo period",,Accepts new version. All versions are avaible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Full text isn't available anymore.,,
lis_scholarship_archive,LIS Scholarship Archive,2022-02-11,"Articles, Reports, Metadata, Oral histories, Manuscripts, Pre-/post-prints, Data, Code, Promotion packets, Student work, Posters, Book Chapters",None,Not mentionned,lissarchive@gmail.com,"LISSA is a place where anyone can have access to library and information science scholarship, in all its forms. As librarians and archivists, we are committed to service permanence, sustainability, discoverability, and ease of access and use.",Library and Information science,"Library, OSF, Information science",2017-07-01,,X,,English,Full text : 311,Disciplinary,None,LISSA,Closed to submission only,Yes,https://lissarchive.org/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,,,Center for Open Science controls and owns the infrastructure; Steering Board of volunteers run the platform (https://lissarchive.org/faq/#support-lissa),,,Individual or community,Yes : includes researchers ,Yes : Steering Commitee ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via FAQ (https://lissarchive.org/faq/) and submission guidelines,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,COS Preservation Fund to maintain read access for 50+ years,LISSA is no longer able to accept new submissions. Existing content will remain accessible as part of COS's ongoing commitment to Open Science.,No,"PDF, Word doc",Any language,Scholary content,For more informations on associated content you can go to this page : https://github.com/CenterForOpenScience/modular-file-renderer/blob/develop/supportedextensions.md,No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: CC0 (public domain), CC BY, CC BY-NC-ND, No license (copyright holder and year), CC BY-SA, Academic Free License (AFL) 3.0, Artistic License 2.0, MIT License, Eclipse Public License 1.0, BSD 2-Clause; BSD 3-Clause, GNU LGPL 2.1, GNP LGPL 3.0, GNU GPL 2.0, GNU GPL 3.0, Apache License 2.0, Mozilla Public License; with no preference for which license chosen",Email administrator,Email administrator,"In retrospect : Misconduct or integrity checks, Akismet spam filtering (automatic on all OSF content), Content within scope",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Same day,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform. At author's request with moderator approval,Basic information remains on a tombstone page,LISSA is no longer able to accept new submissions. Powered by OSF Preprints,
lse_research_online,LSE Research Online,2022-02-11,"Journal articles, Working Papers, Datasets, Books, Book Chapters, Conference items, Multimedia, Posters, Newspaper Articles, Website items, Research Blogs",None,,lseresearchonline@lse.ac.uk,"Welcome to LSE Research Online, the institutional repository for the London School of Economics and Political Science.","Accounting, Finance, Anthropology, Economic History, Economics, Gender, Geography & Environment, Health Policy, International Development, International History, International Relations, Law, Management, Mathematics, Media & Communications, Methodology, Philosophy, Logic, Psychological & Behavioural Science, Social Policy, Social Psychology, Sociology, Statistics, Government, Political Science","London School of Economics, LSERO, institutional repository, LSE Library, social science, SHAPE, open access",2004,http://eprints.lse.ac.uk/cgi/oai2,X,eprints,English,"Total: 82 769
Full text: 45 304",Institutional,None,LSERO,Open,"Yes, http://eprints.lse.ac.uk/faq.html",http://eprints.lse.ac.uk/,Yes : Takedown Policy,Nonprofit,Internal funding,"LSE Research Online aims to be a complete database of research produced by LSE Staff.

Our mission is to:
 - include citations to the work of all LSE academic and support staff
 - provide Open Access to full text research where permitted by publishers and copyright law
 - provide stable links to published items and items not held by LSE Research Online
 - be a reliable source of information on LSE research for all audiences
 - preserve research for posterity
 - openly share its information with internal and external services",United Kingdom,The British Library of Political and Economic Science,LSE,http://www2.lse.ac.uk/home.aspx,Academic institution,Operations Group to discuss technical issues ,Yes : Library staff managing the repository are information professionals with experience of working with researchers and of creating high quality catalogue and index records. ,"Open access and free of charge, ""request a copy"" service for items embargoed according to publisher policies.",Anyone may access the metadata free of charge,No account required for accessing material. LSE Library staff have administrator accounts for creating records/adding content,"Yes - Eprints is hosted on a virtual server. We backup database and eprint items (pdfs etc..).
 
We have a primary and backup database that is in sync and we backup the backup database nightly using standard mysqlbackup to a gzipped mysql file.
We have a 2nd eprints server which we sync data (using cron and rsync)from the primary server hourly during work hours – IIRC the primary server is backed up nightly using vmware backup tools.
Our configuration is hosted in a git repository and this is also backed up nightly with standard gitlab backups.",http://eprints.lse.ac.uk/faq.html,"OAI-PMH, API, RSS feeds, Open metadata formats - BibTex, XML, json",List of formats is available here,English,"Title, Abstract, Item type, Official URL, Additional Information, Divisions, Subjects, Date Deposited and modified, URI, ORCID, DOI, ISSN, ISBN, Journal Title, Publisher, author keywords, JEL codes, Library of Congress Subject Headings",Fully open and availalable to reuse,https://wiki.eprints.org/w/Main_Page,The OAI Identifier and/or a link to the original metadata must be given. And for commercial reuse : Requires Formal Permission,N/A,No,Yes,PDF,"English predominantly, though content in other languages will be accepted if published by LSE staff/students",Research from LSE affiliated staff and students,"Datasets (though we would encourage deposit in specialist data repositories instead), supplementary material (e.g. appendices images, videos and slides",No,No,ORCID,No,Unrestricted,"By depositing your work in LSE Research Online, you (the author(s), copyright owner or assignee), grant a non-exclusive licence to the LSE on behalf of the British Library of Political and Economic Science for the duration of applicable copyright

Full text publications are covered by copyright law and the licence applied  is based on publisher requirements from Sherpa Romeo",Email administrator,Email administrator,We manually check papers before upload,Yes,DOI and URL,"No, only if the publisher imposes an embargo period",Up to 5 working days,"Accepts new version. Only one version is visble for readers, old version kept on file for posterity.","Mediated deposit, staff can't  create an account or deposit their own content. Content is added by the Library on behalf of LSE staff and students.",Yes,By the platform owner if asked by the author,Permanently withdrawn,,
marine_institute_open_access_repository,Marine Institute Open Access Repository,2022-02-11,,,,,"The Marine Institute Open Access Repository facilitates full text access to the publications of the Marine Institute in accordance with copyright permissions. The aim of the Repository is to collect, preserve and provide open access to the publications of the Marine Institute, including the research publications supported by National and European funded marine research programmes.",,,,http://oar.marine.ie/oai/request,X,,,,,,,,,https://oar.marine.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure if allow the publication of preprint,
marxiv,MarXiv,2022-02-11,"Journal Articles, Preprints",None,Originally on OSF in November 2017. Moved over to Zenodo permanently in early 2020.,contact+marxiv@osf.io,"MarXiv (rhymes with ""archive"") is the free repository for ocean and marine-climate research.","Biology, Marine Sciences","Biology, Marine Sciences, OSF, Zenodo",2018,,,,English,Full text : 456 on OSF (https://osf.io/preprints/marxiv/discover) and 19 on Zenodo,Disciplinary,None,,Open,No,https://osf.io/preprints/marxiv,No,Nonprofit,"Our initial Packard grant ended in 2019. We haven't had funding since then, so we moved to Zenodo when OSF shut down our repository to new submissions because we couldn't pay.","OCTO accelerates ocean conservation by connecting ocean professionals to the knowledge and networks they need.
Through our broad suite of tools and communities, we break down barriers to knowledge – empowering ocean professionals to apply best practices and science worldwide.",The United States of America,Open Communications for the Ocean,OCTO,https://www.octogroup.org/,Ocean conservation nonprofit group,Not any more ,Not any more ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,Yes via API,Yes : Formats are available on this page,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,,,No,PDF,Any language,Research and scholary content,All formats are allowed - even preservation unfriendly. Total files size limit per record is 50GB. Higher quotas can be requested and granted on a case-by-case basis.,No,No,ORCID,Material associated with preprint is hosted also by the platform. You can also associate your content with Github.,Unrestricted,"Authors are provided with a choice of licenses: CC BY, CC BY-NC-ND, No License, GNU Lesser General Public License (LGPL) 3.0, Eclipse Public License 1.0, CC BY-SA, with CC BY preferred",Moderator,Email administrator,In retrospect : the copyright clearance. Moderator makes sure things aren't spam or off-topic,Yes,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Up to 24 hours usually,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,At Author's request or by the platform,The reason for the withdrawal will be indicated on a tombstone page,Submissions for Marxiv are now closed. Existing preprints will be maintained by COS as part of the long-term data preservation plan. Powered by OSF Preprints,
mathematical_physics_preprint_archive,Mathematical Physics Preprint Archive,2022-02-11,"Journal articles, Preprints",None,,mathphysicsarchive@gmail.com,mp_arc is an electronic archive for research papers in Mathematical Physics and related areas.,"Mathematics, Physic","Mathematics, Physic",,,,,English,,Disciplinary,None,mp_arc,Open,No,https://web.ma.utexas.edu/mp_arc/,No,Nonprofit,Internal funding,,The United States of America,The University of Texas-Austin's Mathematics Department,,https://www.ma.utexas.edu/,Academic institution, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,Backup kept in mirror server,Yes via submission guidelines,No,No,English,"Title, Author(s), Abstract, Published on, Number of Words, Format",,Yes,,,,No,"HTML, PDF, Postscript",English,Research and academic content,No,No,No,No,,Unrestricted,,Email administrator,Email administrator,,No,No,"No, only if the publisher imposes an embargo period",,Accepts new version,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,,,,
mediarxiv,MediArXiv,2022-02-11,"Working papers, preprints, accepted manuscripts (post-prints), and published manuscripts.",None,,mediarxiv@mediarxiv.com,"Open Archive for Media, Film, and Communication Studies.",Communication sciences,"Median film, communication, OSF",2019-02-01,,,,English,Full text : 145,Disciplinary,None,,Open,Yes,https://mediarxiv.com/,Yes : There is a Code of Conduct,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,,,Center for Open Science controls and owns the infrastructure; Steering Board of volunteers run the platform,,,Individual or community,Yes : includes researchers ,Yes : Steering Committee comprised of members from the global media studies community: ,Anyone may access full items free of charge,,Only needed for submission,,Yes via a Guide,,,,,,Yes,,COS Preservation Fund to maintain read access for 50+ years,,No,"PDF, Word doc",Any language (but Papers submitted in non-English languages will be held in the moderation queue until we can get them verified),Research and scholary content,"full text, figures, data, image, coding, analyses. This is associated with the article via a specific link",No,No,ORCID,,Unrestricted,"No license, CC-By Attribution 4.0 International, CC0 1.0 Universal, CC-By Attribution-ShareAlike 4.0 International, CC-By Attribution-NonCommercial-NoDerivatives 4.0 Internationa",Email administrator,Email administrator,"Beforehand : Akismet spam filtering (automatic on all OSF content) , Content within scope",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",1 to 3 business days,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,At author's request with moderator approval,Basic information remains on a tombstone page,Powered by OSF preprint,
medrxiv,MedRxiv,2022-02-11,"Research articles, systematic reviews and meta-analyses, clinical research design protocols and data articles, Preprints",None,,medrxiv@cshl.edu,"medRxiv (pronounced ""med-archive"") is a free online archive and distribution server for complete but unpublished manuscripts (preprints) in the medical, clinical, and related health sciences.","Broad medical, clinical and related health sciences","Medical articles, Life sciences, medecine",2019-06-01,,X,custom_software,English,Full text : 20 315,Disciplinary,None,,Open,Yes,https://www.medrxiv.org/,Yes : Guidelines are available on this page,Nonprofit,Internal (Cold Spring Harbor Laboratory) and external financial support (multiyear grant funding from Chan Zuckerberg Initiative),"By posting preprints on medRxiv, authors are able to make their findings immediately available to the scientific community and receive feedback on draft manuscripts before they are submitted to journals.",The United States of America,Cold Spring Harbor Laboratory (co-managed with Yale University and BMJ),CSHL,http://www.cshl.edu/,Academic institution,"Yes : medRxiv Affiliates are members of the life sciences community who provide feedback on the service, act as advocates, and help in screening material submitted. ", ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Free, Only needed for submission",Yes : Preprints permanently archived in Portico,Yes : Written description,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), Author affiliation(s), Funder acknowledgement(s), License type(s), Subject category, References",Openly available via Crossref,No,None,Yes : Preprints permanently archived in Portico,,Yes,"PDF, Word doc, WordPerfect",English,Research only,"If images and tables are submitted as separate files, acceptable file formats are GIF, TIFF, EPS, and JPEG,",No,No,ORCID,Material associated with journal is hosted also by the platform,"Unrestricted, but submission is facilitated for those journals : https://www.medrxiv.org/content/about-medrxiv","Authors are provided with a choice of licenses: CC0, CC BY, CC BY-NC, CC BY-ND, CC BY-NC-ND, or no reuse; with no preference for which license chosen",Email administrator,,"Beforehand : Content within scope , Text overlap detection (plagiarism detection), Legal compliance , Ethical compliance , Potential for harm if posted",Yes,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Between 3 and 5 days,Accepts new versions until acceptance at journal,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,"Withdrawn articles remain visible; For removed articles, basic information remains on a tombstone page",,
metaarxiv,MetaArXiv,2022-02-11,"Multiple types (including manuscripts, theses, conference proceedings, tutorials), Preprints",None,,contact+metaarxiv@osf.io,An interdisciplinary archive of articles focused on improving research transparency and reproducibility.,Meta-Science,"Meta-Science, OSF",2017-03-01,,,,English,Full text : 274,Multidisciplinary,None,,Open,Yes,https://osf.io/preprints/metaarxiv/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"The Berkeley Initiative for Transparency in the Social Sciences works to improve the credibility of science by advancing transparency, reproducibility, rigor, and ethics in research.",The United States of America,The Berkeley Initiative for Transparency in the Social Sciences,BITSS,https://www.bitss.org/,Academic institution,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,COS Preservation Fund to maintain read access for 50+ years,,Yes,"PDF, Word doc, WordPerfect, LaTeX",English,Research only,"full text, figures, data, image, coding, analyses. This is associated with the article via a specific link",No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: CC0 1.0 Universal, CC BY Attribution 4.0 International",Email administrator,Email administrator,"In retrospect : Akismet spam filtering (automatic on all OSF content), Content within scope",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,At author's request with moderator approval,Basic information remains on a tombstone page,Powered by OSF preprint,
mindrxiv,MindRxiv,2022-02-11,"Working papers, preprints, published papers, data, and code",None,,contact+mindrxiv@osf.io,Open archive for research on mind and contemplative practices,Mind and contemplative practices,"Mind, Anthropology, Pyschology, Philosophy",2017-08-01,,,,English,Full text : 242,Multidisciplinary,None,,Open,Yes,https://mindrxiv.org/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"This service is part of Mind & Life’s commitment to opening up contemplative research—to reach more people more effectively, to improve research practices, and to build the future of scholarly communication.",The United States of America,Mind & Life Institute,,https://www.mindandlife.org/,Academic institution,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via a Youtube video,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,COS Preservation Fund to maintain read access for 50+ years,,Yes,Any format supported by OSF platform (PDF preferred),English,Academic and Scholary research only,"Researchers can attach data, code, or other research materials to their papers by including them in the associated project.",No,No,ORCID,"Sharing data and code on the Open Science Framework is encouraged, in the spirit of openness and transparency.",Unrestricted,"Authors are provided with a choice of licenses: CC0, CC BY, no license required; with CC0 preferred",Email administrator,Email administrator,"In retrospect : Akismet spam filtering (automatic on all OSF content), Content within scope",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Same day,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,At author's request with moderator approval,Basic information remains on a tombstone page,Powered by OSF preprint,
mitofit_preprints_archive,MitoFit Preprints Archive,2022-02-11,"Journal articles, Preprints",None,,,The Open Access preprint server for mitochondrial physiology and bioenergetics,Life Sciences,"Life Sciences, mitochondrial physiology, bioengergetics",2019-02-12,,,,English,Full text : 23,Disciplinary,None,,Open,No,https://www.mitofit.org/index.php/MitoFit_Preprints,No,Nonprofit,Other business model not based on direct preprinting charges or associated journal (maintained by MitoFit DOI Data Center),,Austria,Oroboros Instruments,,https://www.bioblast.at/index.php/Oroboros_Instruments,Life sciences tech company,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,Backup kept in secondary server,No,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), Funder acknowledgement(s), License type(s), Subject category, ORCID if provided, language of publication, version of the manuscript",Openly available via DataCite,Yes,None,,,Yes,PDF (abstract to be submitted as Word doc),English,Any scholarly content (primary and secondary research),Please prepare the manuscript with embedded figures. Avoid oversized submissions and reduce figure size as far as possible,No,BEC,ORCID,,Unrestricted,Authors must use CC BY-NC-ND license,Community moderation via commenting,Staff,"Beforehand : Content within scope , Manuscript is complete (methods, references), Data is available (if applicable), All authors notified, Legal compliance, Ethical compliance, Potential for harm if posted",Yes,"DOI, each version receives its own DOI suffix","No, only if the publisher imposes an embargo period",Up to 1 week,Accepts new versions until acceptance at journal,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Ar authors' request,Basic information remains on a tombstone page,,
mni_open_research,MNI Open Research,2022-02-11,"All article types (primary and scecondary research), posters and slides, Preprints",None,,info@mniopenresearch.org,MNI Open Research is a platform for rapid publication and open peer review of research conducted by Montreal Neurological Institute and Hospital researchers.,"Subject-specific, including brain imaging, cellular and molecular neuroscience, cognitive neuroscience, neurological diseases/disorders","Medicine, MNI, F1000",,,,,English,Full text : 13,Disciplinary,None,,Open,Yes,https://mniopenresearch.org/,Yes : User Conduct Code,Nonprofit,"Article processing charges, covered by funding agency (limited to one article per lab per year)",,Canada,Montreal Neurological Institute and Hospital researchers,MNI,https://www.mcgill.ca/neuro/,Academic institution, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via FAQ,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), Funder acknowledgement(s), Subject category, Full-text content, Institution, Competing interests, Referee (name, affiliation, referee report), commenter (name, text, affiliation), study type, article type",Available for free upon request,No,Request to platform or author needed,Preprints permanently archived in Portico,,Yes,"Word doc, RTF",English (articles); Accepts posters and slides in all languages (metadata and description must be in English),All article types (primary and scecondary research),"Supplementary data must be deposited in an approved repository and included in the article’s Data Availability section as “Extended data”. You can associate figures and tables to your article : All figures and tables must be cited and discussed in the article text, and their titles and legends should be provided in the revised/updated manuscript.",,MNI Open Research,ORCID,"If your article contains data or source code that has been deposited in a repository (e.g. GitHub, Zenodo, Figshare), please ensure the repository is up to date and reflects the revisions made in the new version of the article.",Restricted - manuscript can only be published in journal linked to server,Authors must use CC BY license,Community moderation via commenting,Community moderation via commenting,"Data is available (if applicable), Code is available (if applicable), All authors notified, One author affiliated with MNI, Text overlap detection, Legal compliance, Ethical compliance",Yes,"DOI, each version receives its own DOI and own non-DOI citable identifier","No, only if the publisher imposes an embargo period",Up to 1 week,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,,Basic information remains on a tombstone page,Powered by F1000 Research,
munich_personal_repec_archive,Munich Personal RePEc Archive,2022-02-11,"Journal Articles, Preprints",None,,mpra@ub.uni-muenchen.de,This repository is intended to disseminate research papers of economists who want to make their work freely available through the RePEc network but are not affiliated with any institution that provides that furtherance.,Business and Economics,"Economics, Business",2007,http://mpra.ub.uni-muenchen.de/cgi/oai2,X,eprints,English,Full text : 52 042,Institutional,None,MRPA,Open,No,https://mpra.ub.uni-muenchen.de/,No,Nonprofit,Internal (Munich University),As one of the LMU's main service providers the chief purpose of the University Library is to fulfil the literature and information needs of the scholarly community and to ensure optimal ease of use.,Germany,Ludwig-Maximilians-Universität München,LMU,http://www.uni-muenchen.de/index.html,Academic institution, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Free, Only needed for submission",,No,No,"Yes, Dublin Core",English,"Item type, Title, Language, Keywords, Subjects, Item ID, Depositing User, Date deposited, Last modified, References, URI","Free, you can dowload it in different formats : Dublin Core, JSON, HTML",Yes,None,,,Yes,"PDF, HTML",Any languages,Research only,,No,No,None,,Unrestricted,,Email administrator,Email administrator,Beforhand,Yes,URI,"No, only if the publisher imposes an embargo period",,Accepts new version. Only one version is visble for readers,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,No one,MPRA refuse to remove submissions from the archive,Part of RePEc,
nature_precedings,Nature Precedings,2022-02-11,"Papers, Conference and Workshop Papers, Reports and Working Papers, Preprints",None,Closed in april 2012,,"Nature Precedings functioned as a permanent, citable archive for pre-publication research and preliminary findings. It was a place for researchers to share documents, including presentations, posters, white papers, technical papers, supplementary findings, and non-peer-reviewed manuscripts.","Biomedical sciences, chemistry, and earth sciences","Nature, Life Sciences, Biology",2007,http://precedings.nature.com/oai2,X,open_preprints_system,English,Full text : 3 423,Disciplinary,None,,Closed to submission only,Yes,https://www.nature.com/npre/,No,For-profit,Internal financial support (Nature),,United Kingdom,Nature Publishing Group,,https://www.nature.com/nature-portfolio,Publishing organisation (publisher),Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Not necessary to access the content,,No,,No,English,"Title, Author(s), Abstract,Affilation, References, Keywords",,No,,,The content is kept by Nature to be visible,Yes,PDF,English,Research only,,Springer Nature,Nature Portfolio,,,Nature Portfolio,"It can be used under the terms of the Creative Commons Attribution License, versions 2.5 or 3.0",,No,Beforehand : relevance to the scope of the repository and quality of the research,No,DOI,"No, only if the publisher imposes an embargo period",,,,No,,,"Editor platform (Nature). It ceased accepting new submissions as of April 3, 2012.",
